episode:1,Updates:1/50,Timesteps:400/10000,FPS:219.0,avg_sp:0.25757575757575757,avg_xp_0_0:0.36363636363636365,avg_xp_0_1:0.5,value_loss:3.380725069840749,policy_loss:0.03614979981739695,dist_entropy:2.0770249048868816,actor_grad_norm:2.0145164330800376,critic_grad_norm:41.24928294817607,ratio:2.9958629965782166,best_i:0,average_step_rewards:0.08500000089406967
episode:2,Updates:2/50,Timesteps:600/10000,FPS:196.0,avg_sp:0.2727272727272727,avg_xp_0_0:0.42424242424242425,avg_xp_0_1:0.5,value_loss:1.220299772421519,policy_loss:0.06792429158991824,dist_entropy:2.0657689293225605,actor_grad_norm:0.7685530781745911,critic_grad_norm:10.265714263916015,ratio:3.001603893438975,best_i:0,average_step_rewards:0.09000000357627869
episode:3,Updates:3/50,Timesteps:800/10000,FPS:186.0,avg_sp:0.18181818181818182,avg_xp_0_0:0.3484848484848485,avg_xp_0_1:0.3787878787878788,value_loss:1.3739142845074335,policy_loss:0.059925602512589354,dist_entropy:2.052352583408356,actor_grad_norm:1.5741004864374797,critic_grad_norm:6.974603378772736,ratio:2.9970765233039858,best_i:0,average_step_rewards:0.05999999865889549
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:181.0,avg_sp:0.15151515151515152,avg_xp_0_0:0.3484848484848485,avg_xp_0_1:0.4090909090909091,value_loss:1.0502402504285178,policy_loss:0.09203639971883967,dist_entropy:2.0298337658246357,actor_grad_norm:1.699297555287679,critic_grad_norm:6.172064932187398,ratio:3.0004588325818378,best_i:0,average_step_rewards:0.05000000074505806
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:177.0,avg_sp:0.07575757575757576,avg_xp_0_0:0.2727272727272727,avg_xp_0_1:0.2878787878787879,value_loss:0.9154997587203979,policy_loss:0.1339235860532305,dist_entropy:1.9925381978352865,actor_grad_norm:2.0973124504089355,critic_grad_norm:4.7869753241539,ratio:2.996612850824992,best_i:0,average_step_rewards:0.02500000037252903
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:175.0,avg_sp:0.36363636363636365,avg_xp_0_0:0.24242424242424243,avg_xp_0_1:0.19696969696969696,value_loss:0.7061761220296224,policy_loss:0.1853844676818698,dist_entropy:1.9395088354746501,actor_grad_norm:1.0034621993700663,critic_grad_norm:4.586342400312423,ratio:2.999699831008911,best_i:0,average_step_rewards:0.11999999731779099
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:173.0,avg_sp:0.21212121212121213,avg_xp_0_0:0.19696969696969696,avg_xp_0_1:0.25757575757575757,value_loss:1.9521280745665233,policy_loss:0.17087325596095373,dist_entropy:1.8954974055290221,actor_grad_norm:2.5362226963043213,critic_grad_norm:8.172158167759578,ratio:3.0098013162612913,best_i:0,average_step_rewards:0.07000000029802322
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:172.0,avg_sp:0.22727272727272727,avg_xp_0_0:0.13636363636363635,avg_xp_0_1:0.25757575757575757,value_loss:1.223781348268191,policy_loss:0.20927017482494314,dist_entropy:1.8202534635861716,actor_grad_norm:2.2662396589914957,critic_grad_norm:4.94254770775636,ratio:3.0058279037475586,best_i:0,average_step_rewards:0.07500000298023224
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:170.0,avg_sp:0.7575757575757576,avg_xp_0_0:0.09090909090909091,avg_xp_0_1:0.16666666666666666,value_loss:1.4209860309958458,policy_loss:0.17823505081857244,dist_entropy:1.7156282981236777,actor_grad_norm:2.5217334508895872,critic_grad_norm:5.166730104883512,ratio:2.988855501015981,best_i:0,average_step_rewards:0.25
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:170.0,avg_sp:0.7424242424242424,avg_xp_0_0:0.10606060606060606,avg_xp_0_1:0.18181818181818182,value_loss:2.359892215083043,policy_loss:0.23455458326327303,dist_entropy:1.5782700181007385,actor_grad_norm:2.5319742520650226,critic_grad_norm:8.033224229017893,ratio:3.001009996732076,best_i:0,average_step_rewards:0.24500000476837158
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:169.0,avg_sp:1.121212121212121,avg_xp_0_0:0.10606060606060606,avg_xp_0_1:0.045454545454545456,value_loss:2.137045743316412,policy_loss:0.23091901306311288,dist_entropy:1.3943413774172464,actor_grad_norm:2.863552522659302,critic_grad_norm:6.510454128682613,ratio:2.9902849038441977,best_i:0,average_step_rewards:0.3700000047683716
episode:12,Updates:12/50,Timesteps:2600/10000,FPS:168.0,avg_sp:1.5,avg_xp_0_0:0.045454545454545456,avg_xp_0_1:0.07575757575757576,value_loss:2.3105473041534426,policy_loss:0.28876154155594613,dist_entropy:1.2034823735555014,actor_grad_norm:2.3921016852060952,critic_grad_norm:8.330369480947654,ratio:2.996090221405029,best_i:0,average_step_rewards:0.4950000047683716
episode:13,Updates:13/50,Timesteps:2800/10000,FPS:168.0,avg_sp:1.7272727272727273,avg_xp_0_0:0.015151515151515152,avg_xp_0_1:0.06060606060606061,value_loss:2.1595363712559146,policy_loss:0.30912893579713996,dist_entropy:1.0385468979676564,actor_grad_norm:2.1855961441993714,critic_grad_norm:8.782992631196976,ratio:3.0019360343615213,best_i:0,average_step_rewards:0.5699999928474426
episode:14,Updates:14/50,Timesteps:3000/10000,FPS:167.0,avg_sp:1.8181818181818181,avg_xp_0_0:0.045454545454545456,avg_xp_0_1:0.0,value_loss:1.8213365536804,policy_loss:0.3229278512783348,dist_entropy:0.8969323555628459,actor_grad_norm:2.088006854057312,critic_grad_norm:7.784360164403916,ratio:2.9996768633524575,best_i:0,average_step_rewards:0.6000000238418579
