episode:1,Updates:1/50,Timesteps:400/10000,FPS:18.0,avg_sp:-9.544642857142858,value_loss:1.1393938223520914,policy_loss:-0.032355833674470584,dist_entropy:1.3782479206720988,actor_grad_norm:1.7353403568267822,critic_grad_norm:12.290671348571777,ratio:0.9974991083145142,average_step_rewards:-5.477499961853027
episode:2,Updates:2/50,Timesteps:600/10000,FPS:14.0,avg_sp:-7.718181818181818,value_loss:0.5213267048199971,policy_loss:0.08765471701820692,dist_entropy:1.3527623097101846,actor_grad_norm:1.6475764513015747,critic_grad_norm:3.7688050270080566,ratio:0.9925793409347534,average_step_rewards:-5.417500019073486
episode:3,Updates:3/50,Timesteps:800/10000,FPS:13.0,avg_sp:-6.288461538461538,value_loss:0.28381788929303486,policy_loss:0.21517176926136017,dist_entropy:1.295361828804016,actor_grad_norm:1.72890043258667,critic_grad_norm:2.7365543842315674,ratio:0.9760777950286865,average_step_rewards:-3.3924999237060547
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:12.0,avg_sp:-5.411764705882353,value_loss:0.20324536363283793,policy_loss:0.1236618717511495,dist_entropy:1.2305323203404746,actor_grad_norm:1.330997109413147,critic_grad_norm:3.0435895919799805,ratio:0.9887073636054993,average_step_rewards:-2.4175000190734863
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:11.0,avg_sp:-4.718446601941747,value_loss:0.10734130789836248,policy_loss:0.10865737249453862,dist_entropy:1.184461196263631,actor_grad_norm:1.0869759321212769,critic_grad_norm:1.5481343269348145,ratio:0.9692920446395874,average_step_rewards:-2.950000047683716
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:11.0,avg_sp:-5.029411764705882,value_loss:0.1904343177874883,policy_loss:0.16510066588719685,dist_entropy:1.13823348681132,actor_grad_norm:1.59528648853302,critic_grad_norm:1.7314341068267822,ratio:0.9786915183067322,average_step_rewards:-2.2774999141693115
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:11.0,avg_sp:-3.36,value_loss:0.0983599935968717,policy_loss:0.07081154584884644,dist_entropy:1.0334158142407734,actor_grad_norm:1.069862961769104,critic_grad_norm:0.9805399775505066,ratio:0.9744633436203003,average_step_rewards:-1.6299999952316284
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:11.0,avg_sp:-3.9702970297029703,value_loss:0.045681582391262056,policy_loss:0.0912400300304095,dist_entropy:0.9752411166826884,actor_grad_norm:0.8667077422142029,critic_grad_norm:1.351908802986145,ratio:0.9936296343803406,average_step_rewards:-1.6549999713897705
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:11.0,avg_sp:-3.05,value_loss:0.056346516807874045,policy_loss:-0.06716548303763072,dist_entropy:0.9373498360315958,actor_grad_norm:0.8270079493522644,critic_grad_norm:0.48868027329444885,ratio:1.0048822164535522,average_step_rewards:-1.4225000143051147
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:11.0,avg_sp:-3.11,value_loss:0.04626097306609154,policy_loss:0.00908818026073277,dist_entropy:0.9213826576868693,actor_grad_norm:1.0151280164718628,critic_grad_norm:0.7090591192245483,ratio:0.9826292395591736,average_step_rewards:-1.3025000095367432
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:10.0,avg_sp:-3.0297029702970297,value_loss:0.03440852140386899,policy_loss:-0.03354601748287678,dist_entropy:0.7971587618192036,actor_grad_norm:0.6826949715614319,critic_grad_norm:0.3581836521625519,ratio:0.9852439761161804,average_step_rewards:-1.2100000381469727
