episode:1,Updates:1/50,Timesteps:400/10000,FPS:94.0,avg_sp:0.2878787878787879,avg_xp_0_0:0.48484848484848486,avg_xp_0_1:0.4393939393939394,value_loss:2.4164286772410075,policy_loss:-0.0418094073884034,dist_entropy:2.0776533603668215,actor_grad_norm:2.229974381128947,critic_grad_norm:17.947171489397686,ratio:3.0036877473195394,best_i:0,average_step_rewards:0.0949999988079071
episode:2,Updates:2/50,Timesteps:600/10000,FPS:82.0,avg_sp:0.22727272727272727,avg_xp_0_0:0.3333333333333333,avg_xp_0_1:0.3333333333333333,value_loss:1.7097120384375255,policy_loss:-0.19396009204273773,dist_entropy:2.0707383672396342,actor_grad_norm:1.8041258017222086,critic_grad_norm:20.132808891932168,ratio:3.0029171744982404,best_i:0,average_step_rewards:0.07500000298023224
episode:3,Updates:3/50,Timesteps:800/10000,FPS:77.0,avg_sp:0.3181818181818182,avg_xp_0_0:0.5,avg_xp_0_1:0.36363636363636365,value_loss:1.196309151252111,policy_loss:-0.20423184925255675,dist_entropy:2.064170197645823,actor_grad_norm:0.9513344208399455,critic_grad_norm:15.899082461992899,ratio:2.9994245052337645,best_i:0,average_step_rewards:0.10499999672174454
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:73.0,avg_sp:0.2727272727272727,avg_xp_0_0:0.24242424242424243,avg_xp_0_1:0.5606060606060606,value_loss:1.522098250190417,policy_loss:-0.20248089433779626,dist_entropy:2.0470695376396177,actor_grad_norm:3.1671101411183673,critic_grad_norm:15.066388193766276,ratio:2.9982453982035318,best_i:0,average_step_rewards:0.09000000357627869
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:70.0,avg_sp:0.22727272727272727,avg_xp_0_0:0.25757575757575757,avg_xp_0_1:0.3484848484848485,value_loss:1.4622515206535658,policy_loss:-0.13991033616958157,dist_entropy:2.0034290313720704,actor_grad_norm:3.4010645071665446,critic_grad_norm:13.921150771776835,ratio:3.0020489851633707,best_i:0,average_step_rewards:0.07500000298023224
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:69.0,avg_sp:0.18181818181818182,avg_xp_0_0:0.15151515151515152,avg_xp_0_1:0.2878787878787879,value_loss:1.210505673289299,policy_loss:-0.14318003025976941,dist_entropy:1.9288199623425801,actor_grad_norm:3.443577520052592,critic_grad_norm:7.7851155797640486,ratio:3.0006452918052675,best_i:0,average_step_rewards:0.05999999865889549
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:68.0,avg_sp:0.6666666666666666,avg_xp_0_0:0.16666666666666666,avg_xp_0_1:0.22727272727272727,value_loss:1.3470838685830435,policy_loss:-0.12673655094578862,dist_entropy:1.8362291177113852,actor_grad_norm:3.0938966592152912,critic_grad_norm:9.1932524283727,ratio:3.0101808945337933,best_i:0,average_step_rewards:0.2199999988079071
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:68.0,avg_sp:0.5909090909090909,avg_xp_0_0:0.15151515151515152,avg_xp_0_1:0.19696969696969696,value_loss:2.3849431251486144,policy_loss:-0.1274641283471137,dist_entropy:1.7106718222300212,actor_grad_norm:4.303706765174866,critic_grad_norm:14.310383160909018,ratio:3.010961103439331,best_i:0,average_step_rewards:0.19499999284744263
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:68.0,avg_sp:0.8636363636363636,avg_xp_0_0:0.10606060606060606,avg_xp_0_1:0.19696969696969696,value_loss:1.8680654766658942,policy_loss:-0.05602587654294133,dist_entropy:1.5275695125261943,actor_grad_norm:3.9911596616109213,critic_grad_norm:11.44745769004027,ratio:2.9939433415730794,best_i:0,average_step_rewards:0.2849999964237213
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:68.0,avg_sp:1.1363636363636365,avg_xp_0_0:0.06060606060606061,avg_xp_0_1:0.030303030303030304,value_loss:2.0282256620625656,policy_loss:-0.011094576225305512,dist_entropy:1.3234329998493195,actor_grad_norm:4.112072332700094,critic_grad_norm:12.310219502449035,ratio:2.992745260397593,best_i:0,average_step_rewards:0.375
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:68.0,avg_sp:1.5,avg_xp_0_0:0.030303030303030304,avg_xp_0_1:0.06060606060606061,value_loss:1.868443338945508,policy_loss:0.04924590073960502,dist_entropy:1.115771621465683,actor_grad_norm:3.093135778109233,critic_grad_norm:15.149508285522462,ratio:3.0093565225601195,best_i:0,average_step_rewards:0.4950000047683716
episode:12,Updates:12/50,Timesteps:2600/10000,FPS:67.0,avg_sp:1.7272727272727273,avg_xp_0_0:0.015151515151515152,avg_xp_0_1:0.09090909090909091,value_loss:1.8818181004375218,policy_loss:0.13209195645836497,dist_entropy:0.9632172822952271,actor_grad_norm:3.215044363339742,critic_grad_norm:14.286552312473455,ratio:3.0019657214482627,best_i:0,average_step_rewards:0.5699999928474426
episode:13,Updates:13/50,Timesteps:2800/10000,FPS:67.0,avg_sp:2.090909090909091,avg_xp_0_0:0.015151515151515152,avg_xp_0_1:0.06060606060606061,value_loss:1.616215279698372,policy_loss:0.08769456860671442,dist_entropy:0.8179819891850154,actor_grad_norm:3.127159309387207,critic_grad_norm:13.403612629075845,ratio:3.00439510345459,best_i:0,average_step_rewards:0.6899999976158142
