episode:1,Updates:1/50,Timesteps:400/10000,FPS:18.0,avg_sp:-9.576576576576576,value_loss:1.9897422154744466,policy_loss:0.18714388608932495,dist_entropy:1.376866920789083,actor_grad_norm:2.9426448345184326,critic_grad_norm:10.348845481872559,ratio:0.9825586080551147,average_step_rewards:-6.522500038146973
episode:2,Updates:2/50,Timesteps:600/10000,FPS:14.0,avg_sp:-7.822429906542056,value_loss:0.3121254781881968,policy_loss:0.2519735227028529,dist_entropy:1.3463072697321574,actor_grad_norm:1.8850394487380981,critic_grad_norm:3.232266426086426,ratio:0.9779565930366516,average_step_rewards:-4.332499980926514
episode:3,Updates:3/50,Timesteps:800/10000,FPS:13.0,avg_sp:-6.280373831775701,value_loss:0.17808856666088105,policy_loss:0.13921772092580795,dist_entropy:1.2757798194885255,actor_grad_norm:1.6724488735198975,critic_grad_norm:1.6519176959991455,ratio:0.9914926886558533,average_step_rewards:-3.1024999618530273
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:12.0,avg_sp:-6.3428571428571425,value_loss:0.20159193774064382,policy_loss:0.024266824506533644,dist_entropy:1.231610655784607,actor_grad_norm:1.8923465013504028,critic_grad_norm:2.0472006797790527,ratio:1.013623833656311,average_step_rewards:-3.7725000381469727
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:11.0,avg_sp:-4.450980392156863,value_loss:0.16184637745221456,policy_loss:0.11910996834437053,dist_entropy:1.1151856104532878,actor_grad_norm:1.5847060680389404,critic_grad_norm:1.6695044040679932,ratio:0.9752872586250305,average_step_rewards:-2.25
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:11.0,avg_sp:-4.349514563106796,value_loss:0.10849403738975524,policy_loss:0.06833907440304757,dist_entropy:1.0222198327382406,actor_grad_norm:1.0417567491531372,critic_grad_norm:1.5330746173858643,ratio:1.001492977142334,average_step_rewards:-2.197499990463257
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:11.0,avg_sp:-3.792079207920792,value_loss:0.14629018207391103,policy_loss:0.10040490279595057,dist_entropy:0.9611794908841451,actor_grad_norm:1.5892740488052368,critic_grad_norm:1.3104246854782104,ratio:0.962307870388031,average_step_rewards:-2.0875000953674316
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:11.0,avg_sp:-3.900990099009901,value_loss:0.15662644306818643,policy_loss:0.0831999734044075,dist_entropy:0.8991691907246907,actor_grad_norm:1.3789703845977783,critic_grad_norm:0.7074095010757446,ratio:0.9630424380302429,average_step_rewards:-2.2674999237060547
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:11.0,avg_sp:-3.25,value_loss:0.17845999002456664,policy_loss:0.03611110703398784,dist_entropy:0.7610843499501546,actor_grad_norm:1.465150237083435,critic_grad_norm:1.3862764835357666,ratio:1.0080878734588623,average_step_rewards:-1.587499976158142
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:11.0,avg_sp:-3.613861386138614,value_loss:0.037782483547925946,policy_loss:-0.06762732242544492,dist_entropy:0.6654194076855977,actor_grad_norm:0.9123346209526062,critic_grad_norm:1.0451444387435913,ratio:0.9688459038734436,average_step_rewards:-1.5225000381469727
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:10.0,avg_sp:-3.1683168316831685,value_loss:0.05164561072985331,policy_loss:-0.13750050713618597,dist_entropy:0.5876577774683635,actor_grad_norm:0.8955203294754028,critic_grad_norm:0.45832619071006775,ratio:0.9984010457992554,average_step_rewards:-1.2649999856948853
episode:12,Updates:12/50,Timesteps:2600/10000,FPS:10.0,avg_sp:-3.4554455445544554,value_loss:0.045428686092297235,policy_loss:-0.038364801555871964,dist_entropy:0.5226524869600931,actor_grad_norm:0.5860069394111633,critic_grad_norm:0.8589728474617004,ratio:1.0035426616668701,average_step_rewards:-1.402500033378601
episode:13,Updates:13/50,Timesteps:2800/10000,FPS:10.0,avg_sp:-2.87,value_loss:0.052052092055479685,policy_loss:-0.13536549508571624,dist_entropy:0.41029495795567833,actor_grad_norm:0.6432135701179504,critic_grad_norm:0.4134940207004547,ratio:0.998996376991272,average_step_rewards:-1.2799999713897705
episode:14,Updates:14/50,Timesteps:3000/10000,FPS:10.0,avg_sp:-3.04,value_loss:0.03448411449790001,policy_loss:-0.09221485902865728,dist_entropy:0.3870805780092875,actor_grad_norm:0.6514268517494202,critic_grad_norm:0.3753121495246887,ratio:0.9981039762496948,average_step_rewards:-1.190000057220459
episode:15,Updates:15/50,Timesteps:3200/10000,FPS:10.0,avg_sp:-3.108910891089109,value_loss:0.026477911820014317,policy_loss:-0.06648204103112221,dist_entropy:0.36436686317125955,actor_grad_norm:0.46629446744918823,critic_grad_norm:0.28735336661338806,ratio:1.027974009513855,average_step_rewards:-1.6100000143051147
episode:16,Updates:16/50,Timesteps:3400/10000,FPS:10.0,avg_sp:-2.85,value_loss:0.21719416777292888,policy_loss:-0.017882078854988017,dist_entropy:0.3908229351043701,actor_grad_norm:0.9185444712638855,critic_grad_norm:0.7587354779243469,ratio:0.9934107065200806,average_step_rewards:-1.1924999952316284
episode:17,Updates:17/50,Timesteps:3600/10000,FPS:10.0,avg_sp:-2.77,value_loss:0.030439670011401177,policy_loss:-0.06794058581193288,dist_entropy:0.3425112505753835,actor_grad_norm:0.9080400466918945,critic_grad_norm:0.36315253376960754,ratio:0.9985158443450928,average_step_rewards:-1.1675000190734863
episode:18,Updates:18/50,Timesteps:3800/10000,FPS:10.0,avg_sp:-2.9,value_loss:0.029524201154708864,policy_loss:-0.04331728393832843,dist_entropy:0.29962072571118675,actor_grad_norm:0.3689509630203247,critic_grad_norm:0.58817458152771,ratio:0.9793409705162048,average_step_rewards:-1.190000057220459
episode:19,Updates:19/50,Timesteps:4000/10000,FPS:10.0,avg_sp:-2.93,value_loss:0.0387425405283769,policy_loss:-0.10404122273127238,dist_entropy:0.2674095074335734,actor_grad_norm:0.40243202447891235,critic_grad_norm:0.536566972732544,ratio:0.9940357208251953,average_step_rewards:-1.247499942779541
episode:20,Updates:20/50,Timesteps:4200/10000,FPS:10.0,avg_sp:-2.82,value_loss:0.049512790888547896,policy_loss:-0.044002068042755124,dist_entropy:0.25736950635910033,actor_grad_norm:0.37160661816596985,critic_grad_norm:0.3670317828655243,ratio:0.9760420322418213,average_step_rewards:-1.1725000143051147
episode:21,Updates:21/50,Timesteps:4400/10000,FPS:10.0,avg_sp:-2.51,value_loss:0.05015663132071495,policy_loss:-0.07431737432877222,dist_entropy:0.2285448302825292,actor_grad_norm:0.43170902132987976,critic_grad_norm:0.7733193635940552,ratio:0.969409704208374,average_step_rewards:-0.9549999833106995
episode:22,Updates:22/50,Timesteps:4600/10000,FPS:10.0,avg_sp:-2.69,value_loss:0.025518017634749413,policy_loss:-0.1127037137746811,dist_entropy:0.20259554584821066,actor_grad_norm:0.4467679560184479,critic_grad_norm:0.8660913705825806,ratio:1.0062505006790161,average_step_rewards:-1.25
episode:23,Updates:23/50,Timesteps:4800/10000,FPS:10.0,avg_sp:-2.89,value_loss:0.02712905245522658,policy_loss:-0.05914277384678523,dist_entropy:0.22241416374842327,actor_grad_norm:0.5195306539535522,critic_grad_norm:1.0755397081375122,ratio:0.9886816740036011,average_step_rewards:-1.2450000047683716
episode:24,Updates:24/50,Timesteps:5000/10000,FPS:10.0,avg_sp:-2.68,value_loss:0.024732719858487448,policy_loss:-0.09881273110707602,dist_entropy:0.22818221549193066,actor_grad_norm:0.5458022356033325,critic_grad_norm:0.3848104774951935,ratio:0.9889021515846252,average_step_rewards:-1.2000000476837158
episode:25,Updates:25/50,Timesteps:5200/10000,FPS:10.0,avg_sp:-2.48,value_loss:0.03413831281165282,policy_loss:-0.020360182039439678,dist_entropy:0.23951429923375447,actor_grad_norm:0.9119417071342468,critic_grad_norm:0.45307934284210205,ratio:0.9739692211151123,average_step_rewards:-1.0850000381469727
