episode:21,Updates:21/250,Timesteps:4400/50000,FPS:142.0,avg_sp:-4.821782178217822,value_loss:0.17960240244865416,policy_loss:0.052963662147521975,dist_entropy:1.160149590174357,actor_grad_norm:1.7875500917434692,critic_grad_norm:1.8244540691375732,ratio:0.9983339905738831,average_step_rewards:-2.3949999809265137
episode:22,Updates:22/250,Timesteps:4600/50000,FPS:142.0,avg_sp:-5.314285714285714,value_loss:0.12565207183361055,policy_loss:0.01949055604636669,dist_entropy:1.1414571523666381,actor_grad_norm:2.9318227767944336,critic_grad_norm:0.8722804188728333,ratio:0.999657928943634,average_step_rewards:-3.2825000286102295
episode:23,Updates:23/250,Timesteps:4800/50000,FPS:142.0,avg_sp:-5.097087378640777,value_loss:0.2304098715384801,policy_loss:0.08066434760888418,dist_entropy:1.1279387156168619,actor_grad_norm:2.3857626914978027,critic_grad_norm:1.7090065479278564,ratio:0.9982035756111145,average_step_rewards:-2.4049999713897705
episode:24,Updates:24/250,Timesteps:5000/50000,FPS:142.0,avg_sp:-5.066666666666666,value_loss:0.15966867605845134,policy_loss:0.021347501128911973,dist_entropy:1.0969787995020548,actor_grad_norm:2.1926143169403076,critic_grad_norm:0.8109220862388611,ratio:0.9989299774169922,average_step_rewards:-3.127500057220459
episode:25,Updates:25/250,Timesteps:5200/50000,FPS:141.0,avg_sp:-4.188118811881188,value_loss:0.28543245792388916,policy_loss:0.08843147108952204,dist_entropy:1.089623228708903,actor_grad_norm:3.7411952018737793,critic_grad_norm:2.412437677383423,ratio:0.9967082738876343,average_step_rewards:-2.137500047683716
episode:26,Updates:26/250,Timesteps:5400/50000,FPS:141.0,avg_sp:-4.705882352941177,value_loss:0.09270176539818446,policy_loss:0.041099015871683756,dist_entropy:1.0652006626129151,actor_grad_norm:1.8603383302688599,critic_grad_norm:1.1859334707260132,ratio:0.9972921013832092,average_step_rewards:-2.492500066757202
episode:27,Updates:27/250,Timesteps:5600/50000,FPS:141.0,avg_sp:-3.8823529411764706,value_loss:0.1733746647834778,policy_loss:0.04650819475452105,dist_entropy:1.0372616291046142,actor_grad_norm:2.092801094055176,critic_grad_norm:1.3133677244186401,ratio:0.9999959468841553,average_step_rewards:-1.8125
episode:28,Updates:28/250,Timesteps:5800/50000,FPS:141.0,avg_sp:-4.411764705882353,value_loss:0.11983838379383087,policy_loss:0.03522074160476526,dist_entropy:1.0463712612787883,actor_grad_norm:1.4466578960418701,critic_grad_norm:0.8132517337799072,ratio:0.9991494417190552,average_step_rewards:-2.1075000762939453
episode:29,Updates:29/250,Timesteps:6000/50000,FPS:141.0,avg_sp:-3.980392156862745,value_loss:0.11103009233872095,policy_loss:0.024591960882147153,dist_entropy:1.0328787326812745,actor_grad_norm:1.9943331480026245,critic_grad_norm:1.348319172859192,ratio:0.9987205862998962,average_step_rewards:-1.877500057220459
episode:30,Updates:30/250,Timesteps:6200/50000,FPS:141.0,avg_sp:-3.9901960784313726,value_loss:0.12851666460434596,policy_loss:0.02841732973853747,dist_entropy:1.0160018046696981,actor_grad_norm:1.5835812091827393,critic_grad_norm:1.1815494298934937,ratio:1.0011366605758667,average_step_rewards:-2.359999895095825
