episode:21,Updates:21/50,Timesteps:4400/10000,FPS:10.0,avg_sp:-2.46,value_loss:0.02323185056447983,policy_loss:0.008833075791456698,dist_entropy:0.3952656586964925,actor_grad_norm:0.7211228013038635,critic_grad_norm:0.36016845703125,ratio:1.0022915601730347,average_step_rewards:-0.9775000214576721
episode:22,Updates:22/50,Timesteps:4600/10000,FPS:10.0,avg_sp:-2.39,value_loss:0.03812798981865247,policy_loss:-0.0704132303595543,dist_entropy:0.2875619769096375,actor_grad_norm:0.5782625675201416,critic_grad_norm:0.6161344647407532,ratio:0.9678518176078796,average_step_rewards:-1.0700000524520874
episode:23,Updates:23/50,Timesteps:4800/10000,FPS:10.0,avg_sp:-2.37,value_loss:0.030274891232450803,policy_loss:-0.049343778068820635,dist_entropy:0.2586802691221237,actor_grad_norm:0.5631569027900696,critic_grad_norm:0.742883563041687,ratio:0.9951404333114624,average_step_rewards:-0.8974999785423279
episode:24,Updates:24/50,Timesteps:5000/10000,FPS:10.0,avg_sp:-2.31,value_loss:0.0339191717406114,policy_loss:-0.08923614025115967,dist_entropy:0.20455455283323923,actor_grad_norm:0.3929712176322937,critic_grad_norm:0.4173486530780792,ratio:1.0120371580123901,average_step_rewards:-0.9900000095367432
episode:25,Updates:25/50,Timesteps:5200/10000,FPS:10.0,avg_sp:-2.3465346534653464,value_loss:0.017155797841648262,policy_loss:-0.16523015201091767,dist_entropy:0.18209400077660878,actor_grad_norm:0.4147621989250183,critic_grad_norm:0.36130258440971375,ratio:1.0019851922988892,average_step_rewards:-1.5049999952316284
episode:26,Updates:26/50,Timesteps:5400/10000,FPS:10.0,avg_sp:-2.15,value_loss:0.37479867935180666,policy_loss:0.09913631478945414,dist_entropy:0.16646139025688172,actor_grad_norm:0.7170040011405945,critic_grad_norm:1.4828550815582275,ratio:0.9810813069343567,average_step_rewards:-0.8974999785423279
episode:27,Updates:27/50,Timesteps:5600/10000,FPS:10.0,avg_sp:-2.4,value_loss:0.03730319192012151,policy_loss:0.021868412320812543,dist_entropy:0.21347330907980602,actor_grad_norm:0.6077160239219666,critic_grad_norm:0.9249780178070068,ratio:0.941408097743988,average_step_rewards:-1.0199999809265137
episode:28,Updates:28/50,Timesteps:5800/10000,FPS:10.0,avg_sp:-1.99,value_loss:0.026612932980060577,policy_loss:-0.04396244709690412,dist_entropy:0.16213654577732087,actor_grad_norm:0.5743229985237122,critic_grad_norm:0.6261768937110901,ratio:0.996245265007019,average_step_rewards:-0.675000011920929
episode:29,Updates:29/50,Timesteps:6000/10000,FPS:10.0,avg_sp:-2.38,value_loss:0.023647346223394077,policy_loss:-0.09039569348096847,dist_entropy:0.1619668831427892,actor_grad_norm:0.38567981123924255,critic_grad_norm:0.9719350934028625,ratio:0.983453094959259,average_step_rewards:-1.2424999475479126
episode:30,Updates:30/50,Timesteps:6200/10000,FPS:10.0,avg_sp:-2.55,value_loss:0.03383096444110076,policy_loss:0.08108102629582087,dist_entropy:0.19141446749369304,actor_grad_norm:0.8294779062271118,critic_grad_norm:1.4141863584518433,ratio:0.8834972977638245,average_step_rewards:-1.1375000476837158
episode:31,Updates:31/50,Timesteps:6400/10000,FPS:10.0,avg_sp:-2.07,value_loss:0.02341584178308646,policy_loss:0.018402105818192165,dist_entropy:0.2072646160920461,actor_grad_norm:0.5220028758049011,critic_grad_norm:0.45461443066596985,ratio:0.9933632016181946,average_step_rewards:-0.8550000190734863
episode:32,Updates:32/50,Timesteps:6600/10000,FPS:10.0,avg_sp:-2.13,value_loss:0.020464722563823066,policy_loss:-0.02667294405400753,dist_entropy:0.17173704206943513,actor_grad_norm:0.4876837432384491,critic_grad_norm:0.5822790861129761,ratio:0.9958202242851257,average_step_rewards:-0.8999999761581421
episode:33,Updates:33/50,Timesteps:6800/10000,FPS:10.0,avg_sp:-2.03,value_loss:0.023076872527599334,policy_loss:-0.1465077668428421,dist_entropy:0.20591709117094675,actor_grad_norm:0.5550528168678284,critic_grad_norm:0.36789360642433167,ratio:1.0179243087768555,average_step_rewards:-0.8650000095367432
episode:34,Updates:34/50,Timesteps:7000/10000,FPS:10.0,avg_sp:-2.07,value_loss:0.02310463177661101,policy_loss:0.015234800055623055,dist_entropy:0.20671772758165996,actor_grad_norm:0.43668076395988464,critic_grad_norm:0.1784679889678955,ratio:0.9836633205413818,average_step_rewards:-0.7174999713897705
episode:35,Updates:35/50,Timesteps:7200/10000,FPS:10.0,avg_sp:-1.97,value_loss:0.02531266895433267,policy_loss:-0.21206761399904886,dist_entropy:0.20626480182011922,actor_grad_norm:0.4727391004562378,critic_grad_norm:0.8344237804412842,ratio:0.9895888566970825,average_step_rewards:-0.8600000143051147
episode:36,Updates:36/50,Timesteps:7400/10000,FPS:10.0,avg_sp:-2.41,value_loss:0.026620120058457056,policy_loss:-0.08515696575244268,dist_entropy:0.14053282837073008,actor_grad_norm:0.6128697991371155,critic_grad_norm:0.3080674707889557,ratio:0.9824188351631165,average_step_rewards:-0.8374999761581421
