episode:12,Updates:12/50,Timesteps:2600/10000,FPS:43.0,avg_sp:-3.1386138613861387,avg_xp_0_0:-2.75,avg_xp_0_1:-2.73,avg_xp_1_0:-3.089108910891089,avg_xp_1_1:-2.871287128712871,avg_xp_2_0:-2.98019801980198,avg_xp_2_1:-2.42,avg_xp_3_0:-3.01,avg_xp_3_1:-3.16,value_loss:0.3919777681430181,policy_loss:-0.024403042440991497,dist_entropy:3.648678986231486,actor_grad_norm:0.9155471285184225,critic_grad_norm:5.908075618743896,ratio:3.983145999908447,best_i:3,average_step_rewards:-1.5850000381469727
episode:13,Updates:13/50,Timesteps:2800/10000,FPS:44.0,avg_sp:-3.128712871287129,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:-2.55,avg_xp_2_1:-2.9603960396039604,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:0.530094034721454,policy_loss:-0.022692578672586745,dist_entropy:3.442317732175191,actor_grad_norm:0.9129133979479472,critic_grad_norm:5.475147291024526,ratio:3.9851464788118998,best_i:2,average_step_rewards:-1.5800000429153442
episode:14,Updates:14/50,Timesteps:3000/10000,FPS:45.0,avg_sp:-2.8613861386138613,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:-2.51,avg_xp_2_1:-2.64,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:0.42283057048916817,policy_loss:-0.012061749773730606,dist_entropy:3.1953579902648928,actor_grad_norm:0.8144252359867096,critic_grad_norm:3.6465273569027583,ratio:4.009611455599467,best_i:2,average_step_rewards:-1.4450000524520874
episode:15,Updates:15/50,Timesteps:3200/10000,FPS:46.0,avg_sp:-2.55,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:-2.78,avg_xp_2_1:-2.76,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:0.33013578640917934,policy_loss:-0.028266520152237126,dist_entropy:3.003310493628184,actor_grad_norm:0.9254252076148987,critic_grad_norm:3.0489740232626596,ratio:4.009383714199066,best_i:2,average_step_rewards:-1.274999976158142
episode:16,Updates:16/50,Timesteps:3400/10000,FPS:44.0,avg_sp:-2.66,avg_xp_0_0:-2.76,avg_xp_0_1:-2.62,avg_xp_1_0:-3.6310679611650487,avg_xp_1_1:-2.6732673267326734,avg_xp_2_0:-2.25,avg_xp_2_1:-2.39,avg_xp_3_0:-3.287128712871287,avg_xp_3_1:-2.77,value_loss:0.2673710842927297,policy_loss:-0.030208395758255638,dist_entropy:2.771138346195221,actor_grad_norm:1.1049614151318867,critic_grad_norm:3.2799915567040445,ratio:4.019124094645182,best_i:2,average_step_rewards:-1.3350000381469727
episode:17,Updates:17/50,Timesteps:3600/10000,FPS:45.0,avg_sp:-2.46,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:-2.31,avg_xp_2_1:-2.43,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:0.35265969249109425,policy_loss:-0.02349858486843733,dist_entropy:2.507580816745758,actor_grad_norm:0.8110618472099305,critic_grad_norm:3.0378600150346755,ratio:3.9745421210924783,best_i:2,average_step_rewards:-1.2300000190734863
episode:18,Updates:18/50,Timesteps:3800/10000,FPS:45.0,avg_sp:-2.15,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:-2.75,avg_xp_2_1:-2.9207920792079207,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:0.14315750139455,policy_loss:-0.03146257112572014,dist_entropy:2.3742467959721885,actor_grad_norm:0.8834657708803813,critic_grad_norm:2.21647391418616,ratio:4.001677644252777,best_i:2,average_step_rewards:-1.0750000476837158
episode:19,Updates:19/50,Timesteps:4000/10000,FPS:46.0,avg_sp:-2.38,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:-2.69,avg_xp_2_1:-2.96,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:0.3418499646087488,policy_loss:-0.03015577878918101,dist_entropy:2.15312743584315,actor_grad_norm:0.8472506602605184,critic_grad_norm:3.159981159369151,ratio:3.993736747900645,best_i:2,average_step_rewards:-1.190000057220459
episode:20,Updates:20/50,Timesteps:4200/10000,FPS:44.0,avg_sp:-2.19,avg_xp_0_0:-2.34,avg_xp_0_1:-2.54,avg_xp_1_0:-2.22,avg_xp_1_1:-2.61,avg_xp_2_0:-2.56,avg_xp_2_1:-2.48,avg_xp_3_0:-2.69,avg_xp_3_1:-2.99,value_loss:0.33811476416885855,policy_loss:-0.015976867262686004,dist_entropy:1.9815609773000082,actor_grad_norm:1.0155973235766094,critic_grad_norm:3.1306865761677423,ratio:3.9966873009999593,best_i:2,average_step_rewards:-1.100000023841858
episode:21,Updates:21/50,Timesteps:4400/10000,FPS:45.0,avg_sp:-2.23,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:-2.32,avg_xp_1_1:-2.32,avg_xp_2_0:nan,avg_xp_2_1:nan,avg_xp_3_0:nan,avg_xp_3_1:nan,value_loss:1.4957186692704758,policy_loss:-0.008596904875012005,dist_entropy:1.9306374510129294,actor_grad_norm:1.3741082350413005,critic_grad_norm:22.480057515700658,ratio:3.99072802066803,best_i:1,average_step_rewards:-1.1200000047683716
