episode:13,Updates:13/50,Timesteps:2800/10000,FPS:51.0,avg_sp:-2.76,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:-3.5784313725490198,avg_xp_1_1:-3.34,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:1.6801832755406698,policy_loss:-0.015395603146394213,dist_entropy:2.9305306553840635,actor_grad_norm:0.8635055164496104,critic_grad_norm:22.31400271455447,ratio:3.9907329360644024,best_i:1,average_step_rewards:-1.3799999952316284
episode:14,Updates:14/50,Timesteps:3000/10000,FPS:52.0,avg_sp:-2.5,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:-3.06,avg_xp_1_1:-3.19,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.713143166899681,policy_loss:-0.01911498465175042,dist_entropy:2.7665150205294293,actor_grad_norm:0.6675271073977153,critic_grad_norm:5.802802103757858,ratio:4.0016480406125385,best_i:1,average_step_rewards:-1.2599999904632568
episode:15,Updates:15/50,Timesteps:3200/10000,FPS:51.0,avg_sp:-2.44,avg_xp_0_0:-2.68,avg_xp_0_1:-2.76,avg_xp_1_0:-3.24,avg_xp_1_1:-3.1782178217821784,avg_xp_2_0:-3.21,avg_xp_2_1:-3.09,value_loss:0.4115852246681849,policy_loss:-0.018971140308868328,dist_entropy:2.748839779694875,actor_grad_norm:0.8258757690588633,critic_grad_norm:4.225642788410187,ratio:3.996109974384308,best_i:1,average_step_rewards:-1.225000023841858
episode:16,Updates:16/50,Timesteps:3400/10000,FPS:51.0,avg_sp:-2.08,avg_xp_0_0:-2.83,avg_xp_0_1:-2.64,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.18425844175120196,policy_loss:-0.01960155687758247,dist_entropy:2.6456639766693115,actor_grad_norm:0.7671524087587992,critic_grad_norm:2.6417991558710736,ratio:3.9875426650047303,best_i:0,average_step_rewards:-1.0399999618530273
episode:17,Updates:17/50,Timesteps:3600/10000,FPS:52.0,avg_sp:-2.09,avg_xp_0_0:-2.76,avg_xp_0_1:-3.0,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.1921126445134481,policy_loss:-0.022500246348111742,dist_entropy:2.5595905065536497,actor_grad_norm:0.8998348613580068,critic_grad_norm:2.184807288646698,ratio:3.988649106025696,best_i:0,average_step_rewards:-1.0449999570846558
episode:18,Updates:18/50,Timesteps:3800/10000,FPS:51.0,avg_sp:-2.34,avg_xp_0_0:-2.84,avg_xp_0_1:-2.86,avg_xp_1_0:-3.09,avg_xp_1_1:-3.3168316831683167,avg_xp_2_0:-3.16,avg_xp_2_1:-2.9,value_loss:0.35306414142251014,policy_loss:-0.023375715848545926,dist_entropy:2.4229928255081177,actor_grad_norm:0.8224604984124502,critic_grad_norm:3.025005146364371,ratio:3.9949599782625835,best_i:0,average_step_rewards:-1.1749999523162842
episode:19,Updates:19/50,Timesteps:4000/10000,FPS:52.0,avg_sp:-2.47,avg_xp_0_0:-2.881188118811881,avg_xp_0_1:-2.7,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.2785921295483907,policy_loss:-0.02338922844533228,dist_entropy:2.4450104077657064,actor_grad_norm:0.8388650834560394,critic_grad_norm:2.9962699164946875,ratio:3.973137617111206,best_i:0,average_step_rewards:-1.2350000143051147
episode:20,Updates:20/50,Timesteps:4200/10000,FPS:52.0,avg_sp:-1.82,avg_xp_0_0:-2.5,avg_xp_0_1:-2.84,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.343959944943587,policy_loss:-0.017557625544179802,dist_entropy:2.293073085943858,actor_grad_norm:0.7048827687899272,critic_grad_norm:3.936303491393725,ratio:3.9711422006289165,best_i:0,average_step_rewards:-0.9100000262260437
episode:21,Updates:21/50,Timesteps:4400/10000,FPS:51.0,avg_sp:-1.99,avg_xp_0_0:-3.14,avg_xp_0_1:-2.92,avg_xp_1_0:-3.08,avg_xp_1_1:-3.08,avg_xp_2_0:-3.11,avg_xp_2_1:-3.14,value_loss:0.1948748535166184,policy_loss:-0.01974681451471394,dist_entropy:2.2320529421170554,actor_grad_norm:0.8595631202061971,critic_grad_norm:3.0908312077323594,ratio:4.016306559244792,best_i:0,average_step_rewards:-0.9950000047683716
episode:22,Updates:22/50,Timesteps:4600/10000,FPS:52.0,avg_sp:-2.1,avg_xp_0_0:-2.64,avg_xp_0_1:-2.72,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.1958082220206658,policy_loss:-0.020309350774216015,dist_entropy:2.1473617057005563,actor_grad_norm:0.8468967139720917,critic_grad_norm:3.6172935649752618,ratio:3.994675099849701,best_i:0,average_step_rewards:-1.0499999523162842
episode:23,Updates:23/50,Timesteps:4800/10000,FPS:52.0,avg_sp:-1.73,avg_xp_0_0:-2.68,avg_xp_0_1:-2.83,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.11456079396108786,policy_loss:-0.017520876825971397,dist_entropy:2.094305501381556,actor_grad_norm:0.974655830860138,critic_grad_norm:1.7296699643135072,ratio:4.015263966719309,best_i:0,average_step_rewards:-0.8650000095367432
episode:24,Updates:24/50,Timesteps:5000/10000,FPS:51.0,avg_sp:-1.86,avg_xp_0_0:-2.98,avg_xp_0_1:-2.79,avg_xp_1_0:-3.12,avg_xp_1_1:-3.715686274509804,avg_xp_2_0:-3.21,avg_xp_2_1:-2.96,value_loss:0.234300896525383,policy_loss:-0.029576886030108086,dist_entropy:1.891538107395172,actor_grad_norm:0.9857357422510783,critic_grad_norm:2.5095708698034285,ratio:3.999569853146871,best_i:0,average_step_rewards:-0.9300000071525574
episode:25,Updates:25/50,Timesteps:5200/10000,FPS:52.0,avg_sp:-1.72,avg_xp_0_0:-2.61,avg_xp_0_1:-2.57,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.18184862223764262,policy_loss:-0.02325260142242597,dist_entropy:1.7964157501856486,actor_grad_norm:1.1474366823832194,critic_grad_norm:2.4822627286116283,ratio:3.982090183099111,best_i:0,average_step_rewards:-0.8600000143051147
episode:26,Updates:26/50,Timesteps:5400/10000,FPS:52.0,avg_sp:-1.73,avg_xp_0_0:-2.84,avg_xp_0_1:-2.95,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.11419046061734359,policy_loss:-0.022411104130869205,dist_entropy:1.68643270333608,actor_grad_norm:1.0527429660161336,critic_grad_norm:2.013993149995804,ratio:3.992835986614227,best_i:0,average_step_rewards:-0.8650000095367432
