episode:1,Updates:1/50,Timesteps:400/10000,FPS:90.0,avg_sp:0.3181818181818182,avg_xp_0_0:0.4393939393939394,avg_xp_0_1:0.5,value_loss:2.0712717612584433,policy_loss:0.08900061762418285,dist_entropy:2.078206435839335,actor_grad_norm:1.735760505994161,critic_grad_norm:15.872288258870443,ratio:3.001212743918101,best_i:0,average_step_rewards:0.10499999672174454
episode:2,Updates:2/50,Timesteps:600/10000,FPS:79.0,avg_sp:0.18181818181818182,avg_xp_0_0:0.48484848484848486,avg_xp_0_1:0.4696969696969697,value_loss:1.8444842159748078,policy_loss:0.2629777891143458,dist_entropy:2.069225851694743,actor_grad_norm:2.258250363667806,critic_grad_norm:15.611842918395997,ratio:3.002836012840271,best_i:0,average_step_rewards:0.05999999865889549
episode:3,Updates:3/50,Timesteps:800/10000,FPS:75.0,avg_sp:0.2878787878787879,avg_xp_0_0:0.3484848484848485,avg_xp_0_1:0.3939393939393939,value_loss:1.3912451187769572,policy_loss:0.22106498079506368,dist_entropy:2.0492328802744546,actor_grad_norm:1.6288564682006836,critic_grad_norm:13.002579180399577,ratio:2.996838382879893,best_i:0,average_step_rewards:0.0949999988079071
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:72.0,avg_sp:0.19696969696969696,avg_xp_0_0:0.25757575757575757,avg_xp_0_1:0.3333333333333333,value_loss:1.1868780632813771,policy_loss:0.22768342162591093,dist_entropy:2.021701657772064,actor_grad_norm:1.9290350993474326,critic_grad_norm:8.454357004165649,ratio:2.997863268852234,best_i:0,average_step_rewards:0.06499999761581421
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:70.0,avg_sp:0.18181818181818182,avg_xp_0_0:0.21212121212121213,avg_xp_0_1:0.3333333333333333,value_loss:1.0675007631381352,policy_loss:0.25772814263628485,dist_entropy:1.9794627865155539,actor_grad_norm:2.074115578333537,critic_grad_norm:5.584488032261531,ratio:3.0023301879564923,best_i:0,average_step_rewards:0.05999999865889549
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:69.0,avg_sp:0.3787878787878788,avg_xp_0_0:0.18181818181818182,avg_xp_0_1:0.36363636363636365,value_loss:0.9987963179747263,policy_loss:0.2503481105293613,dist_entropy:1.9181874990463257,actor_grad_norm:2.6123939673105876,critic_grad_norm:4.788450634479522,ratio:2.9929214398066204,best_i:0,average_step_rewards:0.125
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:70.0,avg_sp:0.21212121212121213,avg_xp_0_0:0.12121212121212122,avg_xp_0_1:0.18181818181818182,value_loss:1.8403623749812443,policy_loss:0.23985713041201234,dist_entropy:1.8347256183624268,actor_grad_norm:3.668104346593221,critic_grad_norm:9.776663140455883,ratio:2.997666764259338,best_i:0,average_step_rewards:0.07000000029802322
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:69.0,avg_sp:0.45454545454545453,avg_xp_0_0:0.21212121212121213,avg_xp_0_1:0.15151515151515152,value_loss:1.0383901387453078,policy_loss:0.2869901240002364,dist_entropy:1.688231348991394,actor_grad_norm:2.7925204833348594,critic_grad_norm:7.834422413508097,ratio:3.0111375133196514,best_i:0,average_step_rewards:0.15000000596046448
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:69.0,avg_sp:0.9090909090909091,avg_xp_0_0:0.045454545454545456,avg_xp_0_1:0.09090909090909091,value_loss:1.593403563896815,policy_loss:0.2809640294946732,dist_entropy:1.531503697236379,actor_grad_norm:3.0342769304911297,critic_grad_norm:10.23362729549408,ratio:2.990552854537964,best_i:0,average_step_rewards:0.30000001192092896
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:68.0,avg_sp:1.1363636363636365,avg_xp_0_0:0.13636363636363635,avg_xp_0_1:0.07575757575757576,value_loss:2.2910658235351247,policy_loss:0.3984825718030334,dist_entropy:1.3516864816347758,actor_grad_norm:3.2156540234883626,critic_grad_norm:16.20405524969101,ratio:2.9951870759328205,best_i:0,average_step_rewards:0.375
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:67.0,avg_sp:1.6818181818181819,avg_xp_0_0:0.07575757575757576,avg_xp_0_1:0.06060606060606061,value_loss:2.2780774096647898,policy_loss:0.404473265423129,dist_entropy:1.1616662760575613,actor_grad_norm:3.1518065452575685,critic_grad_norm:15.716741621494293,ratio:2.999867300192515,best_i:0,average_step_rewards:0.5550000071525574
episode:12,Updates:12/50,Timesteps:2600/10000,FPS:67.0,avg_sp:2.0606060606060606,avg_xp_0_0:0.045454545454545456,avg_xp_0_1:0.045454545454545456,value_loss:2.0477981795867284,policy_loss:0.46340117968122174,dist_entropy:0.9838267644246419,actor_grad_norm:3.0953248500823975,critic_grad_norm:15.437652071317038,ratio:3.0012221455574037,best_i:0,average_step_rewards:0.6800000071525574
episode:13,Updates:13/50,Timesteps:2800/10000,FPS:66.0,avg_sp:2.1818181818181817,avg_xp_0_0:0.015151515151515152,avg_xp_0_1:0.015151515151515152,value_loss:1.757572516053915,policy_loss:0.5047952146374931,dist_entropy:0.8171964754660924,actor_grad_norm:2.812350845336914,critic_grad_norm:13.906096891562145,ratio:2.999896287918091,best_i:0,average_step_rewards:0.7200000286102295
episode:14,Updates:14/50,Timesteps:3000/10000,FPS:66.0,avg_sp:2.3181818181818183,avg_xp_0_0:0.0,avg_xp_0_1:0.06060606060606061,value_loss:1.2699207225814462,policy_loss:0.5713391676296791,dist_entropy:0.6976309965054194,actor_grad_norm:1.8525827805201212,critic_grad_norm:11.761807364225387,ratio:3.0057666301727295,best_i:0,average_step_rewards:0.7649999856948853
