episode:1,Updates:1/50,Timesteps:400/10000,FPS:94.0,avg_sp:0.24242424242424243,avg_xp_0_0:0.36363636363636365,avg_xp_0_1:0.4696969696969697,value_loss:2.0055824716885886,policy_loss:-0.056472172751867514,dist_entropy:2.0774954199790954,actor_grad_norm:2.130284309387207,critic_grad_norm:15.411577514807384,ratio:3.003706896305084,best_i:0,average_step_rewards:0.07999999821186066
episode:2,Updates:2/50,Timesteps:600/10000,FPS:82.0,avg_sp:0.10606060606060606,avg_xp_0_0:0.2727272727272727,avg_xp_0_1:0.3787878787878788,value_loss:1.399156008164088,policy_loss:-0.18153920010570437,dist_entropy:2.065584492683411,actor_grad_norm:1.4034458875656128,critic_grad_norm:16.891200017929076,ratio:3.002309993902842,best_i:0,average_step_rewards:0.03500000014901161
episode:3,Updates:3/50,Timesteps:800/10000,FPS:77.0,avg_sp:0.2727272727272727,avg_xp_0_0:0.3787878787878788,avg_xp_0_1:0.4090909090909091,value_loss:1.0064489841461182,policy_loss:-0.19494156764711565,dist_entropy:2.046353562672933,actor_grad_norm:1.488702662785848,critic_grad_norm:10.754426070054372,ratio:3.0073291540145872,best_i:0,average_step_rewards:0.09000000357627869
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:73.0,avg_sp:0.18181818181818182,avg_xp_0_0:0.21212121212121213,avg_xp_0_1:0.3939393939393939,value_loss:1.7895450244347255,policy_loss:-0.24111292073023893,dist_entropy:2.014339586098989,actor_grad_norm:2.7484999179840086,critic_grad_norm:13.186829487482706,ratio:2.997617761294047,best_i:0,average_step_rewards:0.05999999865889549
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:70.0,avg_sp:0.3181818181818182,avg_xp_0_0:0.24242424242424243,avg_xp_0_1:0.24242424242424243,value_loss:1.15374596118927,policy_loss:-0.22693245879902194,dist_entropy:1.9762887875239055,actor_grad_norm:2.1804988702138264,critic_grad_norm:7.121000174681345,ratio:3.0004624366760253,best_i:0,average_step_rewards:0.10499999672174454
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:68.0,avg_sp:0.2878787878787879,avg_xp_0_0:0.19696969696969696,avg_xp_0_1:0.2727272727272727,value_loss:1.4881246894598008,policy_loss:-0.25829185482533645,dist_entropy:1.9230987985928854,actor_grad_norm:2.681544558207194,critic_grad_norm:8.5783440609773,ratio:2.995556732018789,best_i:0,average_step_rewards:0.0949999988079071
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:67.0,avg_sp:0.3787878787878788,avg_xp_0_0:0.16666666666666666,avg_xp_0_1:0.25757575757575757,value_loss:1.3730710208415986,policy_loss:-0.24286841892295827,dist_entropy:1.8487101236979167,actor_grad_norm:2.6636455138524373,critic_grad_norm:4.731281144420306,ratio:3.003396503130595,best_i:0,average_step_rewards:0.125
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:67.0,avg_sp:0.36363636363636365,avg_xp_0_0:0.12121212121212122,avg_xp_0_1:0.18181818181818182,value_loss:1.638923744360606,policy_loss:-0.22644218925541887,dist_entropy:1.7539413173993428,actor_grad_norm:2.547612984975179,critic_grad_norm:7.050904742876688,ratio:2.999931295712789,best_i:0,average_step_rewards:0.11999999731779099
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:67.0,avg_sp:0.7272727272727273,avg_xp_0_0:0.12121212121212122,avg_xp_0_1:0.22727272727272727,value_loss:1.558413956562678,policy_loss:-0.21924093818850815,dist_entropy:1.6180027623971303,actor_grad_norm:2.852391584714254,critic_grad_norm:5.306844457983971,ratio:2.9909788608551025,best_i:0,average_step_rewards:0.23999999463558197
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:67.0,avg_sp:1.106060606060606,avg_xp_0_0:0.045454545454545456,avg_xp_0_1:0.15151515151515152,value_loss:1.8711861088871955,policy_loss:-0.22269720037281512,dist_entropy:1.4200123111406961,actor_grad_norm:3.197591686248779,critic_grad_norm:11.182338416576385,ratio:2.9986525694529216,best_i:0,average_step_rewards:0.36500000953674316
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:67.0,avg_sp:1.5,avg_xp_0_0:0.07575757575757576,avg_xp_0_1:0.12121212121212122,value_loss:2.1415382071087756,policy_loss:-0.21546064572781323,dist_entropy:1.2067050536473591,actor_grad_norm:3.172191003958384,critic_grad_norm:14.511116741100947,ratio:2.9943211595217387,best_i:0,average_step_rewards:0.4950000047683716
episode:12,Updates:12/50,Timesteps:2600/10000,FPS:67.0,avg_sp:1.7272727272727273,avg_xp_0_0:0.07575757575757576,avg_xp_0_1:0.09090909090909091,value_loss:2.0690843348701793,policy_loss:-0.19672444561868901,dist_entropy:0.9985056400299073,actor_grad_norm:3.153013378381729,critic_grad_norm:16.32072665790717,ratio:3.0012673775355023,best_i:0,average_step_rewards:0.5699999928474426
episode:13,Updates:13/50,Timesteps:2800/10000,FPS:66.0,avg_sp:2.0606060606060606,avg_xp_0_0:0.0,avg_xp_0_1:0.13636363636363635,value_loss:1.9338806986808776,policy_loss:-0.12623744345456356,dist_entropy:0.8450472225745519,actor_grad_norm:2.446135918299357,critic_grad_norm:16.18549964527289,ratio:2.9994930744171144,best_i:0,average_step_rewards:0.6800000071525574
episode:14,Updates:14/50,Timesteps:3000/10000,FPS:66.0,avg_sp:2.3181818181818183,avg_xp_0_0:0.0,avg_xp_0_1:0.045454545454545456,value_loss:1.5808182776595154,policy_loss:-0.04499787593136233,dist_entropy:0.706656077504158,actor_grad_norm:2.2993390560150146,critic_grad_norm:14.4438728282849,ratio:3.0019370436668398,best_i:0,average_step_rewards:0.7649999856948853
