episode:21,Updates:21/50,Timesteps:4400/10000,FPS:51.0,avg_sp:0.9848484848484849,value_loss:0.03466967418789864,policy_loss:0.00029756283394332485,dist_entropy:0.12679724196592967,actor_grad_norm:0.09483449161052704,critic_grad_norm:0.21159832179546356,ratio:1.0007405281066895,average_step_rewards:0.32499998807907104
episode:22,Updates:22/50,Timesteps:4600/10000,FPS:51.0,avg_sp:0.9696969696969697,value_loss:0.06599160979191462,policy_loss:-0.0005922580559514815,dist_entropy:0.11841240028540294,actor_grad_norm:0.5210950970649719,critic_grad_norm:0.36013975739479065,ratio:1.0002549886703491,average_step_rewards:0.3199999928474426
episode:23,Updates:23/50,Timesteps:4800/10000,FPS:51.0,avg_sp:0.9848484848484849,value_loss:0.09826881885528564,policy_loss:-0.002000595405309724,dist_entropy:0.1134092628955841,actor_grad_norm:0.7550723552703857,critic_grad_norm:0.46380844712257385,ratio:0.9998858571052551,average_step_rewards:0.32499998807907104
episode:24,Updates:24/50,Timesteps:5000/10000,FPS:51.0,avg_sp:1.0,value_loss:0.07082559615373611,policy_loss:-0.0010337106372462065,dist_entropy:0.10864777068297068,actor_grad_norm:0.48894837498664856,critic_grad_norm:0.3701731264591217,ratio:1.0001133680343628,average_step_rewards:0.33000001311302185
episode:25,Updates:25/50,Timesteps:5200/10000,FPS:50.0,avg_sp:0.9848484848484849,value_loss:0.04042458459734917,policy_loss:3.1760931268465244e-05,dist_entropy:0.10612634718418121,actor_grad_norm:0.03930957242846489,critic_grad_norm:0.48103418946266174,ratio:1.0000561475753784,average_step_rewards:0.32499998807907104
episode:26,Updates:26/50,Timesteps:5400/10000,FPS:50.0,avg_sp:0.9696969696969697,value_loss:0.04715061162908872,policy_loss:-0.0009139677235798338,dist_entropy:0.10325541992982229,actor_grad_norm:0.6117355227470398,critic_grad_norm:0.28838294744491577,ratio:1.0001863241195679,average_step_rewards:0.3199999928474426
episode:27,Updates:27/50,Timesteps:5600/10000,FPS:50.0,avg_sp:1.0,value_loss:0.11126554707686107,policy_loss:-0.0027139470427452275,dist_entropy:0.09512471159299214,actor_grad_norm:1.0085018873214722,critic_grad_norm:0.7760071158409119,ratio:0.9990295767784119,average_step_rewards:0.33000001311302185
episode:28,Updates:28/50,Timesteps:5800/10000,FPS:50.0,avg_sp:0.9848484848484849,value_loss:0.04529457911849022,policy_loss:0.00011488878709980573,dist_entropy:0.08867765863736471,actor_grad_norm:0.03255506232380867,critic_grad_norm:0.7230914235115051,ratio:0.9999659657478333,average_step_rewards:0.32499998807907104
episode:29,Updates:29/50,Timesteps:6000/10000,FPS:50.0,avg_sp:0.9848484848484849,value_loss:0.05176774909098943,policy_loss:-0.0005127142264779394,dist_entropy:0.08626359303792318,actor_grad_norm:0.5164888501167297,critic_grad_norm:0.34990307688713074,ratio:0.999873697757721,average_step_rewards:0.32499998807907104
episode:30,Updates:30/50,Timesteps:6200/10000,FPS:50.0,avg_sp:1.0,value_loss:0.052991984287897746,policy_loss:-0.000827656834910151,dist_entropy:0.08353226880232494,actor_grad_norm:0.5383995175361633,critic_grad_norm:0.15116354823112488,ratio:1.0001291036605835,average_step_rewards:0.33000001311302185
episode:31,Updates:31/50,Timesteps:6400/10000,FPS:50.0,avg_sp:0.9848484848484849,value_loss:0.04828784018754959,policy_loss:7.807715728995746e-05,dist_entropy:0.07960972636938095,actor_grad_norm:0.04412051662802696,critic_grad_norm:0.16041773557662964,ratio:0.9998981356620789,average_step_rewards:0.32499998807907104
episode:32,Updates:32/50,Timesteps:6600/10000,FPS:50.0,avg_sp:1.0,value_loss:0.0888209174076716,policy_loss:-0.0004151668739844627,dist_entropy:0.07777176052331924,actor_grad_norm:0.48628345131874084,critic_grad_norm:0.41277989745140076,ratio:0.9999979138374329,average_step_rewards:0.33000001311302185
episode:33,Updates:33/50,Timesteps:6800/10000,FPS:50.0,avg_sp:1.0,value_loss:0.05126503308614095,policy_loss:1.513131464712103e-05,dist_entropy:0.0765181581179301,actor_grad_norm:0.01996355876326561,critic_grad_norm:0.47536423802375793,ratio:1.0000396966934204,average_step_rewards:0.33000001311302185
episode:34,Updates:34/50,Timesteps:7000/10000,FPS:50.0,avg_sp:0.9848484848484849,value_loss:0.051821858435869214,policy_loss:6.7367554035394996e-06,dist_entropy:0.0758150115609169,actor_grad_norm:0.023936884477734566,critic_grad_norm:0.2172188013792038,ratio:1.000018835067749,average_step_rewards:0.32499998807907104
episode:35,Updates:35/50,Timesteps:7200/10000,FPS:50.0,avg_sp:0.9848484848484849,value_loss:0.05993478571375211,policy_loss:-0.0004264116682509922,dist_entropy:0.07547259479761123,actor_grad_norm:0.5268617868423462,critic_grad_norm:0.21679916977882385,ratio:0.9999895691871643,average_step_rewards:0.32499998807907104
episode:36,Updates:36/50,Timesteps:7400/10000,FPS:50.0,avg_sp:1.0,value_loss:0.0975334366162618,policy_loss:-0.000668189372285255,dist_entropy:0.07187728434801102,actor_grad_norm:0.4628191292285919,critic_grad_norm:0.3163924515247345,ratio:0.9999454617500305,average_step_rewards:0.33000001311302185
episode:37,Updates:37/50,Timesteps:7600/10000,FPS:50.0,avg_sp:0.9848484848484849,value_loss:0.05625893622636795,policy_loss:3.823757152983849e-06,dist_entropy:0.07023121565580367,actor_grad_norm:0.024370845407247543,critic_grad_norm:0.5056912899017334,ratio:1.0000799894332886,average_step_rewards:0.32499998807907104
episode:38,Updates:38/50,Timesteps:7800/10000,FPS:50.0,avg_sp:1.0,value_loss:0.10164789905150731,policy_loss:-0.000444424982134232,dist_entropy:0.0691059057911237,actor_grad_norm:0.47293606400489807,critic_grad_norm:0.5383225083351135,ratio:1.0000638961791992,average_step_rewards:0.33000001311302185
episode:39,Updates:39/50,Timesteps:8000/10000,FPS:50.0,avg_sp:0.9848484848484849,value_loss:0.05862183173497518,policy_loss:3.8698434686616306e-05,dist_entropy:0.0662922869126002,actor_grad_norm:0.02247689478099346,critic_grad_norm:0.5287954807281494,ratio:0.9999563694000244,average_step_rewards:0.32499998807907104
episode:40,Updates:40/50,Timesteps:8200/10000,FPS:50.0,avg_sp:1.0,value_loss:0.1059012750784556,policy_loss:-0.00045664920634589377,dist_entropy:0.06563703070084254,actor_grad_norm:0.4609014391899109,critic_grad_norm:0.5376445055007935,ratio:1.0000414848327637,average_step_rewards:0.33000001311302185
episode:41,Updates:41/50,Timesteps:8400/10000,FPS:50.0,avg_sp:1.0,value_loss:0.06108633105953534,policy_loss:2.7137915390381315e-05,dist_entropy:0.06352515767018001,actor_grad_norm:0.01918075792491436,critic_grad_norm:0.5441648960113525,ratio:0.9999449253082275,average_step_rewards:0.33000001311302185
episode:42,Updates:42/50,Timesteps:8600/10000,FPS:50.0,avg_sp:1.0,value_loss:0.061312520503997804,policy_loss:-5.553563256969577e-07,dist_entropy:0.06366358747084935,actor_grad_norm:0.02555062808096409,critic_grad_norm:0.24615703523159027,ratio:1.0000581741333008,average_step_rewards:0.33000001311302185
episode:43,Updates:43/50,Timesteps:8800/10000,FPS:49.0,avg_sp:1.0,value_loss:0.06257963975270589,policy_loss:2.0742257624073447e-05,dist_entropy:0.06237156515320142,actor_grad_norm:0.023869561031460762,critic_grad_norm:0.10278408229351044,ratio:1.0001059770584106,average_step_rewards:0.33000001311302185
episode:44,Updates:44/50,Timesteps:9000/10000,FPS:49.0,avg_sp:1.0,value_loss:0.06387255440155665,policy_loss:2.200428618985839e-05,dist_entropy:0.06110475684205691,actor_grad_norm:0.017092900350689888,critic_grad_norm:0.0428231842815876,ratio:0.9999692440032959,average_step_rewards:0.33000001311302185
episode:45,Updates:45/50,Timesteps:9200/10000,FPS:49.0,avg_sp:0.9848484848484849,value_loss:0.06502018272876739,policy_loss:7.868051383338089e-06,dist_entropy:0.060865673671166104,actor_grad_norm:0.022473065182566643,critic_grad_norm:0.024215077981352806,ratio:1.0000278949737549,average_step_rewards:0.32499998807907104
episode:46,Updates:46/50,Timesteps:9400/10000,FPS:49.0,avg_sp:1.0,value_loss:0.11831854482491812,policy_loss:-0.0004102251122530968,dist_entropy:0.060101940482854846,actor_grad_norm:0.45165008306503296,critic_grad_norm:0.4649709463119507,ratio:0.9999343752861023,average_step_rewards:0.33000001311302185
episode:47,Updates:47/50,Timesteps:9600/10000,FPS:49.0,avg_sp:1.0,value_loss:0.06854429692029954,policy_loss:-1.482868183243132e-05,dist_entropy:0.059671915819247565,actor_grad_norm:0.040368832647800446,critic_grad_norm:0.6521183252334595,ratio:1.0000852346420288,average_step_rewards:0.33000001311302185
episode:48,Updates:48/50,Timesteps:9800/10000,FPS:49.0,avg_sp:1.0,value_loss:0.0681435450911522,policy_loss:5.861600195089523e-06,dist_entropy:0.05901361256837845,actor_grad_norm:0.07699213922023773,critic_grad_norm:0.2914157807826996,ratio:1.000171422958374,average_step_rewards:0.33000001311302185
episode:49,Updates:49/50,Timesteps:10000/10000,FPS:49.0,avg_sp:1.0,value_loss:0.06965303669373195,policy_loss:3.1744082744526264e-05,dist_entropy:0.05674390122294426,actor_grad_norm:0.03762035071849823,critic_grad_norm:0.11988980323076248,ratio:1.0001016855239868,average_step_rewards:0.33000001311302185
